Mode,Time(s),Value
DCV,9.3623228073,6.1616486E+01
DCV,9.3850841522,6.1616998E+01
DCV,9.4006490707,6.1616908E+01
DCV,9.4160785675,6.1616245E+01
DCV,9.4392471313,6.1616697E+01
DCV,9.4545688629,6.1618834E+01
DCV,9.4697065353,6.1619496E+01
DCV,9.4928379059,6.1617630E+01
DCV,9.5085439682,6.1617630E+01
DCV,9.5239572525,6.1619436E+01
DCV,9.5465183258,6.1618412E+01
DCV,9.5616159439,6.1617329E+01
DCV,9.5844841003,6.1618232E+01
DCV,9.6004457474,6.1617058E+01
DCV,9.6157798767,6.1617058E+01
DCV,9.6381330490,6.1620579E+01
DCV,9.6534233093,6.1619616E+01
DCV,9.6763439178,6.1619044E+01
DCV,9.6920557022,6.1620760E+01
DCV,9.7075796127,6.1620158E+01
DCV,9.7299423218,6.1620007E+01
DCV,9.7449970245,6.1620188E+01
DCV,9.7680835724,6.1619887E+01
DCV,9.7835149765,6.1620338E+01
DCV,9.7986230850,6.1621181E+01
DCV,9.8211221695,6.1621813E+01
DCV,9.8361883163,6.1621572E+01
DCV,9.8590440750,6.1620820E+01
DCV,9.8746986389,6.1621332E+01
DCV,9.8898200989,6.1622415E+01
DCV,9.9123468399,6.1621723E+01
DCV,9.9277334213,6.1621211E+01
DCV,9.9552497864,6.1621753E+01
DCV,9.9633502960,6.1620910E+01
DCV,9.9859333038,6.1620700E+01
DCV,10.0010032654,6.1622174E+01
DCV,10.0240516663,6.1624462E+01
DCV,10.0395078659,6.1623649E+01
DCV,10.0546092987,6.1622866E+01
DCV,10.0771179199,6.1622054E+01
DCV,10.0921697617,6.1621693E+01
DCV,10.1106252670,6.1622385E+01
DCV,10.1339778900,6.1623198E+01
DCV,10.1493654251,6.1624341E+01
DCV,10.1644763947,6.1624221E+01
DCV,10.1872673035,6.1624251E+01
DCV,10.2030658722,6.1624010E+01
DCV,10.2256851196,6.1625214E+01
DCV,10.2410154343,6.1626448E+01
DCV,10.2560558319,6.1624793E+01
DCV,10.2787857056,6.1624371E+01
DCV,10.2947511673,6.1625394E+01
DCV,10.3104352951,6.1623348E+01
DCV,10.3330602646,6.1622806E+01
DCV,10.3483657837,6.1624883E+01
DCV,10.3711633682,6.1625816E+01
DCV,10.3868360519,6.1626809E+01
DCV,10.4027261734,6.1627953E+01
DCV,10.4253206253,6.1627742E+01
DCV,10.4406528473,6.1626959E+01
DCV,10.4640283585,6.1626117E+01
DCV,10.4794692993,6.1624793E+01
DCV,10.4945745468,6.1624341E+01
DCV,10.5170822144,6.1622415E+01
DCV,10.5324172974,6.1624462E+01
DCV,10.5479040146,6.1626177E+01
DCV,10.5711259842,6.1626658E+01
DCV,10.5865764618,6.1627230E+01
DCV,10.6089487076,6.1627712E+01
DCV,10.6245899200,6.1627622E+01
DCV,10.6399993896,6.1626809E+01
DCV,10.6629123688,6.1627922E+01
DCV,10.6785812378,6.1628314E+01
DCV,10.7012462616,6.1628404E+01
DCV,10.7166757584,6.1626478E+01
DCV,10.7320804596,6.1625756E+01
DCV,10.7549943924,6.1626749E+01
DCV,10.7704391479,6.1628284E+01
DCV,10.7860431671,6.1628886E+01
DCV,10.8087339401,6.1629427E+01
DCV,10.8239040375,6.1629247E+01
DCV,10.8469982147,6.1627351E+01
DCV,10.8624706268,6.1626719E+01
DCV,10.8780765533,6.1627140E+01
DCV,10.9009771347,6.1627622E+01
DCV,10.9161815643,6.1627441E+01
DCV,10.9393167496,6.1628043E+01
DCV,10.9549961090,6.1628524E+01
DCV,10.9705972672,6.1630571E+01
DCV,10.9933891296,6.1631474E+01
DCV,11.0088481903,6.1629939E+01
DCV,11.0242729187,6.1627682E+01
DCV,11.0473260880,6.1628374E+01
DCV,11.0627927780,6.1628494E+01
DCV,11.0779104233,6.1628494E+01
DCV,11.1006278992,6.1629096E+01
DCV,11.1161432266,6.1630782E+01
DCV,11.1392679214,6.1629849E+01
DCV,11.1548519135,6.1630089E+01
DCV,11.1700000763,6.1631474E+01
DCV,11.1924905777,6.1630661E+01
DCV,11.2082128525,6.1630420E+01
DCV,11.2314472198,6.1630481E+01
DCV,11.2467889786,6.1630390E+01
DCV,11.2620983124,6.1629277E+01
DCV,11.2845869064,6.1630962E+01
DCV,11.3001394272,6.1631564E+01
DCV,11.3230991364,6.1630089E+01
DCV,11.3382263184,6.1630782E+01
DCV,11.3532476425,6.1631594E+01
DCV,11.3759050369,6.1632196E+01
DCV,11.3914165497,6.1633490E+01
DCV,11.4141368866,6.1632798E+01
DCV,11.4294748306,6.1630962E+01
DCV,11.4450397491,6.1630872E+01
DCV,11.4678144455,6.1630330E+01
DCV,11.4836425781,6.1631805E+01
DCV,11.4990930557,6.1632798E+01
DCV,11.5214643478,6.1631955E+01
DCV,11.5367116928,6.1632497E+01
DCV,11.5596370697,6.1633731E+01
DCV,11.5754518509,6.1633520E+01
DCV,11.5911054611,6.1632467E+01
DCV,11.6134920120,6.1632527E+01
DCV,11.6285238266,6.1633520E+01
DCV,11.6517286301,6.1632918E+01
DCV,11.6674327850,6.1633580E+01
DCV,11.6829366684,6.1632678E+01
DCV,11.7055406570,6.1632587E+01
DCV,11.7207880020,6.1633129E+01
DCV,11.7362775803,6.1633580E+01
DCV,11.7597103119,6.1634453E+01
DCV,11.7751245499,6.1633942E+01
DCV,11.7977275848,6.1634002E+01
DCV,11.8130550385,6.1634814E+01
DCV,11.8285484314,6.1635206E+01
DCV,11.8517236710,6.1634844E+01
DCV,11.8671474457,6.1633911E+01
DCV,11.8895483017,6.1634513E+01
DCV,11.9054327011,6.1635446E+01
DCV,11.9208917618,6.1635958E+01
DCV,11.9438905716,6.1636108E+01
DCV,11.9595699310,6.1635988E+01
DCV,11.9746904373,6.1636169E+01
DCV,11.9974021912,6.1634694E+01
DCV,12.0130939484,6.1634634E+01
DCV,12.0360612869,6.1634754E+01
DCV,12.0516033173,6.1635236E+01
DCV,12.0672349930,6.1635145E+01
DCV,12.0905542374,6.1635356E+01
DCV,12.1059875488,6.1636771E+01
DCV,12.1216430664,6.1635507E+01
DCV,12.1440267563,6.1635356E+01
DCV,12.1594486237,6.1635898E+01
DCV,12.1822996140,6.1634844E+01
DCV,12.1976537704,6.1634664E+01
DCV,12.2131719589,6.1636018E+01
DCV,12.2363586426,6.1635326E+01
DCV,12.2518072128,6.1635657E+01
