Time,Power
2.411120,68.88
2.411200,68.88
2.411280,68.32
2.411360,68.88
2.411440,68.88
2.411520,68.88
2.411600,68.88
2.411680,68.88
2.411760,68.88
2.411840,68.88
2.411920,88.56
2.412000,68.88
2.412080,68.88
2.412160,68.88
2.412240,68.88
2.412320,68.32
2.412400,68.88
2.412480,68.88
2.412560,68.88
2.412640,68.32
2.412720,68.88
2.412800,68.88
2.412880,68.88
2.412960,68.88
2.413040,68.88
2.413120,68.88
2.413200,68.88
2.413280,68.88
2.413360,68.88
2.413440,68.32
2.413520,68.88
2.413600,68.32
2.413680,68.88
2.413760,68.88
2.413840,88.56
2.413920,68.88
2.414000,68.88
2.414080,68.88
2.414160,88.56
2.414240,68.88
2.414320,68.88
2.414400,68.88
2.414480,68.88
2.414560,68.88
2.414640,68.88
2.414720,68.88
2.414800,68.88
2.414880,68.88
2.414960,68.88
2.415040,68.88
2.415120,68.88
2.415200,68.32
2.415280,49.2
2.415360,68.88
2.415440,68.88
2.415520,68.88
2.415600,68.88
2.415680,68.32
2.415760,68.32
2.415840,88.56
2.415920,68.32
2.416000,88.56
2.416080,68.88
2.416160,68.88
2.416240,88.56
2.416320,68.88
2.416400,68.32
2.416480,68.88
2.416560,68.88
2.416640,68.32
2.416720,68.88
2.416800,87.84
2.416880,68.88
2.416960,68.32
2.417040,68.88
2.417120,68.88
2.417200,68.88
2.417280,68.88
2.417360,68.88
2.417440,68.88
2.417520,68.88
2.417600,88.56
2.417680,68.88
2.417760,68.32
2.417840,68.32
2.417920,88.56
2.418000,68.88
2.418080,68.88
2.418160,68.88
2.418240,68.88
2.418320,68.88
2.418400,68.32
2.418480,68.88
2.418560,68.88
2.418640,68.88
2.418720,68.88
2.418800,68.32
2.418880,68.88
2.418960,49.2
2.419040,68.88
2.419120,68.88
2.419200,68.88
2.419280,49.2
2.419360,88.56
2.419440,68.88
2.419520,68.88
2.419600,68.88
2.419680,68.88
2.419760,68.88
2.419840,68.88
2.419920,49.2
2.420000,68.88
2.420080,68.88
2.420160,68.88
2.420240,68.88
2.420320,68.88
2.420400,68.32
2.420480,68.88
2.420560,68.88
2.420640,68.88
2.420720,68.88
2.420800,68.88
2.420880,68.88
2.420960,68.88
2.421040,68.88
2.421120,68.88
2.421200,68.88
2.421280,68.88
2.421360,68.32
2.421440,68.88
2.421520,68.88
2.421600,68.88
2.421680,68.88
2.421760,68.88
2.421840,68.88
2.421920,68.88
2.422000,68.88
2.422080,68.88
2.422160,68.88
2.422240,68.32
2.422320,68.32
2.422400,68.88
2.422480,68.88
2.422560,68.88
2.422640,68.88
2.422720,68.88
2.422800,68.88
